fid,pud,X,Y
174,3,332542.9846,1289169.26
175,2,355542.9846,1289169.26
176,1,312542.9846,1290169.26
177,2,313542.9846,1290169.26
178,11,318542.9846,1290169.26
179,11,321542.9846,1290169.26
180,4,322542.9846,1290169.26
181,2,323542.9846,1290169.26
182,2,326542.9846,1290169.26
183,1,327542.9846,1290169.26
184,1,332542.9846,1290169.26
185,3,344542.9846,1290169.26
186,1,310542.9846,1291169.26
187,1,317542.9846,1291169.26
188,2,318542.9846,1291169.26
189,2,319542.9846,1291169.26
190,3,320542.9846,1291169.26
191,2,321542.9846,1291169.26
192,38,322542.9846,1291169.26
193,1,326542.9846,1291169.26
194,3,328542.9846,1291169.26
195,6,332542.9846,1291169.26
196,11,284542.9846,1292169.26
197,1,296542.9846,1292169.26
198,1,297542.9846,1292169.26
199,1,307542.9846,1292169.26
200,12,312542.9846,1292169.26
201,1,316542.9846,1292169.26
202,15,317542.9846,1292169.26
203,24,318542.9846,1292169.26
204,18,319542.9846,1292169.26
205,23,320542.9846,1292169.26
206,3,321542.9846,1292169.26
207,1,322542.9846,1292169.26
208,7,323542.9846,1292169.26
209,2,332542.9846,1292169.26
210,1,353542.9846,1292169.26
211,1,310542.9846,1293169.26
212,2,313542.9846,1293169.26
213,20,316542.9846,1293169.26
214,1,317542.9846,1293169.26
215,27,318542.9846,1293169.26
216,514,319542.9846,1293169.26
217,238,320542.9846,1293169.26
218,14,321542.9846,1293169.26
219,1,322542.9846,1293169.26
220,10,323542.9846,1293169.26
221,2,324542.9846,1293169.26
222,1,326542.9846,1293169.26
223,8,328542.9846,1293169.26
224,4,333542.9846,1293169.26
225,1,304542.9846,1294169.26
226,1,315542.9846,1294169.26
227,4,317542.9846,1294169.26
228,4,318542.9846,1294169.26
229,28,319542.9846,1294169.26
230,85,320542.9846,1294169.26
231,2,321542.9846,1294169.26
232,3,324542.9846,1294169.26
233,1,310542.9846,1295169.26
234,2,319542.9846,1295169.26
235,7,320542.9846,1295169.26
236,1,323542.9846,1295169.26
237,2,317542.9846,1296169.26
238,1,324542.9846,1296169.26
239,1,328542.9846,1296169.26
240,5,310542.9846,1297169.26
241,2,322542.9846,1297169.26
242,1,324542.9846,1297169.26
243,1,400542.9846,1297169.26
244,1,303542.9846,1298169.26
245,1,312542.9846,1298169.26
246,1,320542.9846,1298169.26
247,1,321542.9846,1298169.26
248,1,324542.9846,1298169.26
249,1,330542.9846,1298169.26
250,3,338542.9846,1298169.26
251,2,359542.9846,1298169.26
252,1,293542.9846,1299169.26
253,1,318542.9846,1299169.26
254,1,323542.9846,1299169.26
255,17,339542.9846,1299169.26
256,1,340542.9846,1299169.26
257,12,321542.9846,1300169.26
258,4,322542.9846,1300169.26
259,2,323542.9846,1300169.26
260,6,324542.9846,1300169.26
261,1,340542.9846,1300169.26
262,1,323542.9846,1301169.26
263,7,341542.9846,1301169.26
264,1,281542.9846,1302169.26
265,1,322542.9846,1302169.26
266,3,323542.9846,1302169.26
267,1,329542.9846,1302169.26
268,3,342542.9846,1302169.26
269,1,343542.9846,1302169.26
270,3,315542.9846,1303169.26
271,1,320542.9846,1303169.26
272,4,322542.9846,1303169.26
273,2,323542.9846,1303169.26
274,1,324542.9846,1303169.26
275,3,343542.9846,1303169.26
276,1,366542.9846,1303169.26
277,4,302542.9846,1304169.26
278,3,322542.9846,1304169.26
279,1,340542.9846,1304169.26
280,11,343542.9846,1304169.26
281,2,322542.9846,1305169.26
282,1,323542.9846,1305169.26
283,3,344542.9846,1305169.26
284,1,345542.9846,1305169.26
285,1,373542.9846,1305169.26
286,1,405542.9846,1305169.26
287,2,408542.9846,1305169.26
288,1,300542.9846,1306169.26
289,3,314542.9846,1306169.26
290,1,317542.9846,1306169.26
291,1,319542.9846,1306169.26
292,1,320542.9846,1306169.26
293,1,325542.9846,1306169.26
294,3,413542.9846,1306169.26
295,1,302542.9846,1307169.26
296,3,318542.9846,1307169.26
297,21,321542.9846,1307169.26
298,1,324542.9846,1307169.26
299,2,347542.9846,1307169.26
300,1,398542.9846,1307169.26
301,2,402542.9846,1307169.26
302,10,403542.9846,1307169.26
303,1,311542.9846,1308169.26
304,2,316542.9846,1308169.26
305,2,320542.9846,1308169.26
306,8,335542.9846,1308169.26
307,1,348542.9846,1308169.26
308,3,349542.9846,1308169.26
309,1,390542.9846,1308169.26
310,1,399542.9846,1308169.26
311,2,401542.9846,1308169.26
312,2,312542.9846,1309169.26
313,1,315542.9846,1309169.26
314,1,317542.9846,1309169.26
315,2,324542.9846,1309169.26
316,5,326542.9846,1309169.26
317,10,351542.9846,1309169.26
318,1,363542.9846,1309169.26
319,2,396542.9846,1309169.26
320,1,295542.9846,1310169.26
321,1,314542.9846,1310169.26
322,2,317542.9846,1310169.26
323,1,351542.9846,1310169.26
324,3,352542.9846,1310169.26
325,4,391542.9846,1310169.26
326,6,392542.9846,1310169.26
327,3,393542.9846,1310169.26
328,4,394542.9846,1310169.26
329,5,315542.9846,1311169.26
330,9,318542.9846,1311169.26
331,1,321542.9846,1311169.26
332,1,325542.9846,1311169.26
333,2,353542.9846,1311169.26
334,3,391542.9846,1311169.26
335,2,392542.9846,1311169.26
336,1,393542.9846,1311169.26
337,2,394542.9846,1311169.26
338,4,313542.9846,1312169.26
339,21,346542.9846,1312169.26
340,1,354542.9846,1312169.26
341,1,368542.9846,1312169.26
342,1,390542.9846,1312169.26
343,99,284542.9846,1313169.26
344,6,308542.9846,1313169.26
345,1,319542.9846,1313169.26
346,1,344542.9846,1313169.26
347,1,354542.9846,1313169.26
348,2,403542.9846,1313169.26
349,1,308542.9846,1314169.26
350,1,311542.9846,1314169.26
351,5,315542.9846,1314169.26
352,1,316542.9846,1314169.26
353,94,320542.9846,1314169.26
354,1,294542.9846,1315169.26
355,11,308542.9846,1315169.26
356,14,309542.9846,1315169.26
357,3,310542.9846,1315169.26
358,10,311542.9846,1315169.26
359,7,312542.9846,1315169.26
360,7,313542.9846,1315169.26
361,1,314542.9846,1315169.26
362,17,315542.9846,1315169.26
363,1,316542.9846,1315169.26
364,1,328542.9846,1315169.26
365,1,336542.9846,1315169.26
366,2,354542.9846,1315169.26
367,8,356542.9846,1315169.26
368,7,386542.9846,1315169.26
369,1,388542.9846,1315169.26
370,1,398542.9846,1315169.26
371,1,308542.9846,1316169.26
372,3,310542.9846,1316169.26
373,20,311542.9846,1316169.26
374,6,312542.9846,1316169.26
375,8,313542.9846,1316169.26
376,1,316542.9846,1316169.26
377,1,318542.9846,1316169.26
378,1,335542.9846,1316169.26
379,1,356542.9846,1316169.26
380,1,387542.9846,1316169.26
381,1,308542.9846,1317169.26
382,23,311542.9846,1317169.26
383,1,312542.9846,1317169.26
384,19,314542.9846,1317169.26
385,1,326542.9846,1317169.26
386,2,357542.9846,1317169.26
387,1,358542.9846,1317169.26
388,1,389542.9846,1317169.26
389,1,282542.9846,1318169.26
390,65,308542.9846,1318169.26
391,10,309542.9846,1318169.26
392,24,310542.9846,1318169.26
393,16,311542.9846,1318169.26
