transect_id,fid,veg_type,site_name,size_categ,X,Y,perimeter_m,area_ha,fvc_perc,imp_surf,distance_m,ref_temp_max,temp_oC,cooling_inten_oC
1,43,Forest,Church_RuralVillage,Large-sized,332385.4262,1291646.863,1007.2,7.5,0,0.315,210,32.6,29.2,3.4
1,44,Forest,Church_RuralVillage,Large-sized,332390.1137,1291645.123,1007.2,7.5,0,0.311,215,32.6,29.3,3.3
1,45,Forest,Church_RuralVillage,Large-sized,332394.8013,1291643.383,1007.2,7.5,0,0.297,220,32.6,29.4,3.2
1,46,Forest,Church_RuralVillage,Large-sized,332399.4889,1291641.644,1007.2,7.5,0,0.277,225,32.6,29.4,3.2
1,47,Forest,Church_RuralVillage,Large-sized,332404.1765,1291639.904,1007.2,7.5,0,0.281,230,32.6,29.4,3.2
1,48,Forest,Church_RuralVillage,Large-sized,332408.8641,1291638.164,1007.2,7.5,0,0.301,235,32.6,29.5,3.1
1,49,Forest,Church_RuralVillage,Large-sized,332413.5517,1291636.425,1007.2,7.5,0,0.309,240,32.6,29.6,3
1,50,Forest,Church_RuralVillage,Large-sized,332418.2393,1291634.685,1007.2,7.5,0,0.301,245,32.6,29.6,3
1,51,Forest,Church_RuralVillage,Large-sized,332422.9268,1291632.945,1007.2,7.5,0,0.322,250,32.6,29.6,3
1,52,Forest,Church_RuralVillage,Large-sized,332427.6144,1291631.205,1007.2,7.5,0,0.475,255,32.6,29.6,3
1,53,Forest,Church_RuralVillage,Large-sized,332432.302,1291629.466,1007.2,7.5,0,0.427,260,32.6,29.7,2.9
1,54,Forest,Church_RuralVillage,Large-sized,332436.9896,1291627.726,1007.2,7.5,0,0.315,265,32.6,29.7,2.9
1,55,Forest,Church_RuralVillage,Large-sized,332441.6772,1291625.986,1007.2,7.5,0,0.383,270,32.6,29.8,2.8
1,56,Forest,Church_RuralVillage,Large-sized,332446.3648,1291624.247,1007.2,7.5,0,0.303,275,32.6,29.9,2.7
1,57,Forest,Church_RuralVillage,Large-sized,332451.0524,1291622.507,1007.2,7.5,0,0.283,280,32.6,29.9,2.7
1,58,Forest,Church_RuralVillage,Large-sized,332455.74,1291620.767,1007.2,7.5,0,0.333,285,32.6,29.9,2.7
1,59,Forest,Church_RuralVillage,Large-sized,332460.4275,1291619.028,1007.2,7.5,0,0.391,290,32.6,29.9,2.7
1,60,Forest,Church_RuralVillage,Large-sized,332465.1546,1291617.398,1007.2,7.5,0,0.449,295,32.6,29.9,2.7
